Month,Total Cash Flow,Remaining Balance,Remaining Mortgages,Pool Factor
225,1022827.2782337414,44150361.70598013,420.93102391196646,0.1471678723532671
226,1017527.627869621,43370586.569091566,420.1951845502001,0.1445686218969719
227,1012258.0941386553,42591881.82748897,419.47234144071524,0.14197293942496322
228,1007018.5221024649,41814223.28362389,418.7624767435904,0.1393807442787463
229,1001808.7577099011,41037586.76369371,418.0655730221967,0.13679195587897905
230,996628.6477925177,40261948.1168868,417.3816132428018,0.134206493722956
231,991478.0400600722,39487283.21462812,416.710580774187,0.13162427738209373
232,986356.7830960499,38713567.94982525,416.05245938727654,0.1290452264994175
233,981264.7263532152,37940778.23611477,415.40723325477944,0.12646926078704923
234,976201.7201491885,37168890.00710906,414.7748869508442,0.12389630002369686
235,971167.6156620489,36397879.215643406,414.1554054507257,0.12132626405214468
236,966162.2649259624,35627721.83302342,413.548774130465,0.11875907277674475
237,961185.5208268347,34858393.84827277,412.9549787665813,0.11619464616090923
238,956237.2370979905,34089871.26738117,412.37400553577675,0.1136329042246039
239,951317.2683158773,33322130.112552617,411.8058410146537,0.11107376704184206
240,946425.4698957937,32555146.421453875,411.2504721794445,0.10851715473817958
241,941561.6980876434,31788896.246463116,410.7078864057536,0.10596298748821038
242,936725.8099717132,31023355.65391877,410.1780714683125,0.10341118551306257
243,931917.663454477,30258500.723368503,409.6610155407472,0.10086166907789501
244,927137.1172644217,29494307.546818357,409.15670719535774,0.09831435848939453
245,922384.0309479004,28730752.22798195,408.6651354029108,0.09576917409327317
246,917658.264865008,27967810.8815298,408.1862895324444,0.093226036271766
247,912959.6801854816,27205459.632338673,407.72015935108556,0.09068486544112891
248,908288.1388846245,26443674.614740983,407.2667350238799,0.08814558204913661
249,903643.5037392544,25682431.971774194,406.8260071136342,0.08560810657258065
250,899025.638323676,24921707.854430217,406.3979665807713,0.0830723595147674
251,894434.407005675,24161478.42090476,405.9826047831975,0.08053826140301587
252,889869.6749425394,23401719.835846614,405.5799134761824,0.07800573278615539
253,885331.3080770996,22642408.26960687,405.18988481225165,0.0754746942320229
254,880819.1731337964,21883519.897488005,404.8125113410915,0.07294506632496002
255,876333.1376147683,21125030.898992863,404.4477860094667,0.07041676966330954
256,871873.0697959648,20366917.457073446,404.09570216115014,0.06788972485691148
257,867438.8387232809,19609155.75737956,403.7562535368656,0.06536385252459855
258,863030.3142087148,18851721.987507224,403.42943427424257,0.06283907329169075
259,858647.3668265489,18094592.336246867,403.1152389077841,0.06031530778748956
260,854289.867909553,17337742.99283129,402.8136623688466,0.057792476642770964
261,849957.6895452098,16581150.146183318,402.52469998563276,0.055270500487277725
262,845650.7045719629,15824789.984163174,402.24834748319637,0.05274929994721058
263,841368.7865754882,15068638.69281553,401.9846009834603,0.050228795642718434
264,837111.8098849851,14312672.455616197,401.73345700524675,0.047708908185387325
265,832879.6495694923,13556867.452718463,401.49491246431984,0.04518955817572821
266,828672.1814342238,12801199.860199017,401.2689646734412,0.04267066620066339
267,824489.282016928,12045645.849303469,401.0556113424379,0.04015215283101156
268,820330.8285842668,11290181.585691413,400.8548505782828,0.03763393861897138
269,816196.6991282194,10534783.228681035,400.666680885188,0.03511594409560345
270,812086.7723625035,9779426.930493224,400.49110116470996,0.032598089768310745
271,808000.927719022,9024088.835495165,400.32811071586843,0.030080296118317217
272,803939.0453443279,8268745.079443399,400.17770923527684,0.027562483598144664
273,799901.0060961124,7513371.788726315,400.0398968172861,0.025044572629087717
274,795886.6915397135,6757945.079606055,399.91467395414065,0.02252648359868685
275,791895.9839446453,6002441.057459809,399.8020415361472,0.02000813685819936
276,787928.766281148,5246835.816020469,399.7020008518562,0.01748945272006823
277,783984.9222167601,4491105.436616628,399.6145535882559,0.014970351455388761
278,780064.3361129098,3735225.9874118944,399.53970183097897,0.012450753291372981
279,776166.893021528,2979173.5226434893,399.4774480645221,0.009930578408811631
280,772292.4786816811,2222924.0818601223,399.42779517247806,0.007409746939533741
281,768440.9795162245,1466453.6891591004,399.39074643778036,0.004888178963863668
282,764612.2826284769,709738.3524226595,399.3663055429611,0.002365794508075532
283,760806.2757989138,-47245.93744651228,399.3544765704207,-0.00015748645815504093
